Categoría: Todas las categorías

Semana,Resfriado común: (España),Fitness: (España)
2023-12-31,100,52
2024-01-07,76,56
2024-01-14,52,51
2024-01-21,45,52
2024-01-28,43,52
2024-02-04,46,53
2024-02-11,50,48
2024-02-18,49,51
2024-02-25,49,50
2024-03-03,49,50
2024-03-10,46,48
2024-03-17,43,46
2024-03-24,44,45
2024-03-31,43,50
2024-04-07,37,47
2024-04-14,36,49
2024-04-21,41,48
2024-04-28,41,48
2024-05-05,41,44
2024-05-12,40,47
2024-05-19,38,46
2024-05-26,33,47
2024-06-02,30,43
2024-06-09,30,43
2024-06-16,28,38
2024-06-23,29,40
2024-06-30,27,39
2024-07-07,27,41
2024-07-14,23,40
2024-07-21,23,42
2024-07-28,22,40
2024-08-04,21,45
2024-08-11,23,49
2024-08-18,28,55
2024-08-25,28,54
2024-09-01,29,63
2024-09-08,38,66
2024-09-15,49,58
2024-09-22,60,55
2024-09-29,55,54
2024-10-06,51,53
2024-10-13,52,54
2024-10-20,51,51
2024-10-27,49,48
2024-11-03,46,52
2024-11-10,52,51
2024-11-17,50,50
2024-11-24,50,48
2024-12-01,57,50
2024-12-08,68,42
2024-12-15,71,42
2024-12-22,87,49
2024-12-29,99,59
